FID;Diam_pulg;Diam_mm;Material;Fecha_mant;Fecha_inst;Estado;Longitud
0;5;25;PVC;30/3/2023;21/7/2000;Bueno;14.012
1;10;75;PEAD;26/5/2023;21/7/2000;Bueno;30.588
2;10;75;PVC;15/5/2023;21/7/2000;Bueno;268.514
3;10;75;PEAD;21/5/2020;21/7/2000;Regular;99.561
4;7;38;PVC;31/5/2021;21/7/2000;Bueno;15.245
5;8;50;PVC;24/4/2024;21/7/2000;Bueno;94.397
6;8;50;PVC;24/12/2024;21/7/2000;Bueno;77.642
7;8;50;PVC;30/12/2021;21/7/2000;Bueno;79.913
8;4;18;PVC;2/12/2020;21/7/2000;Bueno;42.121
9;3;12;PVC;20/2/2023;21/7/2000;Bueno;34.569
10;8;50;PEAD;21/5/2020;21/7/2000;Bueno;369.969
11;10;75;PEAD;22/8/2022;21/7/2000;Regular;87.124
12;10;75;PEAD;15/1/2024;21/7/2000;Regular;118.59
13;8;50;PEAD;2/7/2024;21/7/2000;Bueno;17.051
14;5;25;PVC;5/9/2024;21/7/2000;Bueno;503.788
15;5;25;PVC;5/6/2023;21/7/2000;Bueno;242.336
16;5;25;PVC;13/6/2024;13/8/2002;Bueno;11.652
17;0;0;PVC;26/1/2021;13/8/2002;Bueno;29.761
18;8;50;PVC;13/10/2023;13/8/2002;Bueno;11.879
19;5;25;PVC;18/2/2020;13/8/2002;Regular;194.607
20;8;50;PVC;2/6/2022;13/8/2002;Regular;169.16
21;8;50;PVC;11/8/2021;13/8/2002;Bueno;183.958
22;8;50;PVC;25/10/2023;13/8/2002;Bueno;73.508
23;5;25;PVC;23/2/2021;13/8/2002;Bueno;35.737
24;10;75;PEAD;10/11/2023;13/8/2002;Bueno;167.032
25;0;0;PVC;12/2/2021;13/8/2002;Bueno;16.482
26;10;75;PEAD;22/5/2024;13/8/2002;Regular;476.386
27;8;50;PVC;8/4/2020;13/8/2002;Regular;169.779
28;8;50;PVC;16/4/2020;13/8/2002;Bueno;12.247
29;0;0;PVC;6/1/2021;13/8/2002;Bueno;15.957
30;5;25;PVC;5/5/2020;13/8/2002;Bueno;59.418
31;8;50;PVC;16/8/2021;9/10/2002;Bueno;1021.646
32;8;50;PVC;4/11/2022;9/10/2002;Regular;478.774
33;8;50;PVC;15/2/2022;9/10/2002;Bueno;281.111
34;5;25;PVC;28/6/2023;9/10/2002;Bueno;103.111
35;0;0;PVC;9/2/2024;9/10/2002;Bueno;6.563
36;8;50;PVC;9/5/2022;9/10/2002;Regular;278.643
37;8;50;PVC;18/9/2024;9/10/2002;Bueno;97.013
